ts,connected,time
2020-02-08 00:00:00,0,00:00:00
2020-02-08 00:30:00,0,00:30:00
2020-02-08 01:00:00,1,01:00:00
2020-02-08 01:30:00,1,01:30:00
2020-02-08 02:00:00,1,02:00:00
2020-02-08 02:30:00,1,02:30:00
2020-02-08 03:00:00,1,03:00:00
2020-02-08 03:30:00,1,03:30:00
2020-02-08 04:00:00,1,04:00:00
2020-02-08 04:30:00,2,04:30:00
2020-02-08 05:00:00,2,05:00:00
2020-02-08 05:30:00,2,05:30:00
2020-02-08 06:00:00,3,06:00:00
2020-02-08 06:30:00,3,06:30:00
2020-02-08 07:00:00,3,07:00:00
2020-02-08 07:30:00,4,07:30:00
2020-02-08 08:00:00,8,08:00:00
2020-02-08 08:30:00,9,08:30:00
2020-02-08 09:00:00,13,09:00:00
2020-02-08 09:30:00,14,09:30:00
2020-02-08 10:00:00,15,10:00:00
2020-02-08 10:30:00,14,10:30:00
2020-02-08 11:00:00,20,11:00:00
2020-02-08 11:30:00,31,11:30:00
2020-02-08 12:00:00,32,12:00:00
2020-02-08 12:30:00,30,12:30:00
2020-02-08 13:00:00,33,13:00:00
2020-02-08 13:30:00,33,13:30:00
2020-02-08 14:00:00,33,14:00:00
2020-02-08 14:30:00,31,14:30:00
2020-02-08 15:00:00,28,15:00:00
2020-02-08 15:30:00,22,15:30:00
2020-02-08 16:00:00,20,16:00:00
2020-02-08 16:30:00,16,16:30:00
2020-02-08 17:00:00,17,17:00:00
2020-02-08 17:30:00,12,17:30:00
2020-02-08 18:00:00,12,18:00:00
2020-02-08 18:30:00,9,18:30:00
2020-02-08 19:00:00,11,19:00:00
2020-02-08 19:30:00,11,19:30:00
2020-02-08 20:00:00,10,20:00:00
2020-02-08 20:30:00,7,20:30:00
2020-02-08 21:00:00,7,21:00:00
2020-02-08 21:30:00,8,21:30:00
2020-02-08 22:00:00,9,22:00:00
2020-02-08 22:30:00,7,22:30:00
2020-02-08 23:00:00,8,23:00:00
2020-02-08 23:30:00,6,23:30:00
2020-02-08 23:59:59,6,23:59:59
2020-02-15 00:00:00,16,00:00:00
2020-02-15 00:30:00,14,00:30:00
2020-02-15 01:00:00,13,01:00:00
2020-02-15 01:30:00,13,01:30:00
2020-02-15 02:00:00,12,02:00:00
2020-02-15 02:30:00,12,02:30:00
2020-02-15 03:00:00,12,03:00:00
2020-02-15 03:30:00,12,03:30:00
2020-02-15 04:00:00,12,04:00:00
2020-02-15 04:30:00,13,04:30:00
2020-02-15 05:00:00,14,05:00:00
2020-02-15 05:30:00,14,05:30:00
2020-02-15 06:00:00,13,06:00:00
2020-02-15 06:30:00,13,06:30:00
2020-02-15 07:00:00,13,07:00:00
2020-02-15 07:30:00,13,07:30:00
2020-02-15 08:00:00,13,08:00:00
2020-02-15 08:30:00,17,08:30:00
2020-02-15 09:00:00,21,09:00:00
2020-02-15 09:30:00,24,09:30:00
2020-02-15 10:00:00,29,10:00:00
2020-02-15 10:30:00,29,10:30:00
2020-02-15 11:00:00,24,11:00:00
2020-02-15 11:30:00,22,11:30:00
2020-02-15 12:00:00,25,12:00:00
2020-02-15 12:30:00,25,12:30:00
2020-02-15 13:00:00,21,13:00:00
2020-02-15 13:30:00,24,13:30:00
2020-02-15 14:00:00,25,14:00:00
2020-02-15 14:30:00,24,14:30:00
2020-02-15 15:00:00,23,15:00:00
2020-02-15 15:30:00,17,15:30:00
2020-02-15 16:00:00,18,16:00:00
2020-02-15 16:30:00,18,16:30:00
2020-02-15 17:00:00,13,17:00:00
2020-02-15 17:30:00,15,17:30:00
2020-02-15 18:00:00,14,18:00:00
2020-02-15 18:30:00,18,18:30:00
2020-02-15 19:00:00,20,19:00:00
2020-02-15 19:30:00,18,19:30:00
2020-02-15 20:00:00,15,20:00:00
2020-02-15 20:30:00,15,20:30:00
2020-02-15 21:00:00,16,21:00:00
2020-02-15 21:30:00,14,21:30:00
2020-02-15 22:00:00,10,22:00:00
2020-02-15 22:30:00,10,22:30:00
2020-02-15 23:00:00,10,23:00:00
2020-02-15 23:30:00,11,23:30:00
2020-02-15 23:59:59,10,23:59:59
2020-02-22 00:00:00,8,00:00:00
2020-02-22 00:30:00,8,00:30:00
2020-02-22 01:00:00,8,01:00:00
2020-02-22 01:30:00,7,01:30:00
2020-02-22 02:00:00,6,02:00:00
2020-02-22 02:30:00,6,02:30:00
2020-02-22 03:00:00,6,03:00:00
2020-02-22 03:30:00,6,03:30:00
2020-02-22 04:00:00,4,04:00:00
2020-02-22 04:30:00,4,04:30:00
2020-02-22 05:00:00,4,05:00:00
2020-02-22 05:30:00,5,05:30:00
2020-02-22 06:00:00,6,06:00:00
2020-02-22 06:30:00,6,06:30:00
2020-02-22 07:00:00,7,07:00:00
2020-02-22 07:30:00,6,07:30:00
2020-02-22 08:00:00,10,08:00:00
2020-02-22 08:30:00,11,08:30:00
2020-02-22 09:00:00,14,09:00:00
2020-02-22 09:30:00,17,09:30:00
2020-02-22 10:00:00,21,10:00:00
