ts,connected,time
2020-02-08 00:00:00,0,00:00:00
2020-02-08 00:30:00,2,00:30:00
2020-02-08 01:00:00,2,01:00:00
2020-02-08 01:30:00,3,01:30:00
2020-02-08 02:00:00,3,02:00:00
2020-02-08 02:30:00,3,02:30:00
2020-02-08 03:00:00,3,03:00:00
2020-02-08 03:30:00,3,03:30:00
2020-02-08 04:00:00,3,04:00:00
2020-02-08 04:30:00,3,04:30:00
2020-02-08 05:00:00,4,05:00:00
2020-02-08 05:30:00,3,05:30:00
2020-02-08 06:00:00,3,06:00:00
2020-02-08 06:30:00,4,06:30:00
2020-02-08 07:00:00,5,07:00:00
2020-02-08 07:30:00,6,07:30:00
2020-02-08 08:00:00,6,08:00:00
2020-02-08 08:30:00,7,08:30:00
2020-02-08 09:00:00,9,09:00:00
2020-02-08 09:30:00,12,09:30:00
2020-02-08 10:00:00,12,10:00:00
2020-02-08 10:30:00,11,10:30:00
2020-02-08 11:00:00,12,11:00:00
2020-02-08 11:30:00,11,11:30:00
2020-02-08 12:00:00,14,12:00:00
2020-02-08 12:30:00,13,12:30:00
2020-02-08 13:00:00,14,13:00:00
2020-02-08 13:30:00,17,13:30:00
2020-02-08 14:00:00,16,14:00:00
2020-02-08 14:30:00,13,14:30:00
2020-02-08 15:00:00,16,15:00:00
2020-02-08 15:30:00,15,15:30:00
2020-02-08 16:00:00,13,16:00:00
2020-02-08 16:30:00,14,16:30:00
2020-02-08 17:00:00,15,17:00:00
2020-02-08 17:30:00,12,17:30:00
2020-02-08 18:00:00,16,18:00:00
2020-02-08 18:30:00,15,18:30:00
2020-02-08 19:00:00,17,19:00:00
2020-02-08 19:30:00,16,19:30:00
2020-02-08 20:00:00,13,20:00:00
2020-02-08 20:30:00,13,20:30:00
2020-02-08 21:00:00,14,21:00:00
2020-02-08 21:30:00,10,21:30:00
2020-02-08 22:00:00,8,22:00:00
2020-02-08 22:30:00,11,22:30:00
2020-02-08 23:00:00,12,23:00:00
2020-02-08 23:30:00,12,23:30:00
2020-02-08 23:59:59,11,23:59:59
2020-02-09 00:00:00,11,00:00:00
2020-02-09 00:30:00,11,00:30:00
2020-02-09 01:00:00,12,01:00:00
2020-02-09 01:30:00,12,01:30:00
2020-02-09 02:00:00,12,02:00:00
2020-02-09 02:30:00,12,02:30:00
2020-02-09 03:00:00,12,03:00:00
2020-02-09 03:30:00,12,03:30:00
2020-02-09 04:00:00,11,04:00:00
2020-02-09 04:30:00,14,04:30:00
2020-02-09 05:00:00,14,05:00:00
2020-02-09 05:30:00,14,05:30:00
2020-02-09 06:00:00,14,06:00:00
2020-02-09 06:30:00,14,06:30:00
2020-02-09 07:00:00,15,07:00:00
2020-02-09 07:30:00,15,07:30:00
2020-02-09 08:00:00,16,08:00:00
2020-02-09 08:30:00,18,08:30:00
2020-02-09 09:00:00,17,09:00:00
2020-02-09 09:30:00,17,09:30:00
2020-02-09 10:00:00,18,10:00:00
2020-02-09 10:30:00,16,10:30:00
2020-02-09 11:00:00,17,11:00:00
2020-02-09 11:30:00,21,11:30:00
2020-02-09 12:00:00,22,12:00:00
2020-02-09 12:30:00,24,12:30:00
2020-02-09 13:00:00,26,13:00:00
2020-02-09 13:30:00,27,13:30:00
2020-02-09 14:00:00,28,14:00:00
2020-02-09 14:30:00,25,14:30:00
2020-02-09 15:00:00,23,15:00:00
2020-02-09 15:30:00,18,15:30:00
2020-02-09 16:00:00,18,16:00:00
2020-02-09 16:30:00,16,16:30:00
2020-02-09 17:00:00,15,17:00:00
2020-02-09 17:30:00,17,17:30:00
2020-02-09 18:00:00,18,18:00:00
2020-02-09 18:30:00,17,18:30:00
2020-02-09 19:00:00,17,19:00:00
2020-02-09 19:30:00,16,19:30:00
2020-02-09 20:00:00,16,20:00:00
2020-02-09 20:30:00,13,20:30:00
2020-02-09 21:00:00,13,21:00:00
2020-02-09 21:30:00,13,21:30:00
2020-02-09 22:00:00,12,22:00:00
2020-02-09 22:30:00,11,22:30:00
2020-02-09 23:00:00,11,23:00:00
2020-02-09 23:30:00,11,23:30:00
2020-02-09 23:59:59,11,23:59:59
2020-02-15 00:00:00,18,00:00:00
2020-02-15 00:30:00,19,00:30:00
2020-02-15 01:00:00,21,01:00:00
2020-02-15 01:30:00,21,01:30:00
2020-02-15 02:00:00,19,02:00:00
2020-02-15 02:30:00,18,02:30:00
2020-02-15 03:00:00,17,03:00:00
2020-02-15 03:30:00,17,03:30:00
2020-02-15 04:00:00,17,04:00:00
2020-02-15 04:30:00,18,04:30:00
2020-02-15 05:00:00,19,05:00:00
2020-02-15 05:30:00,18,05:30:00
2020-02-15 06:00:00,18,06:00:00
2020-02-15 06:30:00,17,06:30:00
2020-02-15 07:00:00,17,07:00:00
2020-02-15 07:30:00,19,07:30:00
2020-02-15 08:00:00,21,08:00:00
2020-02-15 08:30:00,20,08:30:00
2020-02-15 09:00:00,19,09:00:00
2020-02-15 09:30:00,20,09:30:00
2020-02-15 10:00:00,22,10:00:00
2020-02-15 10:30:00,22,10:30:00
2020-02-15 11:00:00,22,11:00:00
2020-02-15 11:30:00,19,11:30:00
2020-02-15 12:00:00,21,12:00:00
2020-02-15 12:30:00,20,12:30:00
2020-02-15 13:00:00,19,13:00:00
2020-02-15 13:30:00,19,13:30:00
2020-02-15 14:00:00,17,14:00:00
2020-02-15 14:30:00,19,14:30:00
2020-02-15 15:00:00,13,15:00:00
2020-02-15 15:30:00,12,15:30:00
2020-02-15 16:00:00,12,16:00:00
2020-02-15 16:30:00,15,16:30:00
2020-02-15 17:00:00,13,17:00:00
2020-02-15 17:30:00,13,17:30:00
2020-02-15 18:00:00,15,18:00:00
2020-02-15 18:30:00,17,18:30:00
2020-02-15 19:00:00,14,19:00:00
2020-02-15 19:30:00,13,19:30:00
2020-02-15 20:00:00,13,20:00:00
2020-02-15 20:30:00,12,20:30:00
2020-02-15 21:00:00,10,21:00:00
2020-02-15 21:30:00,12,21:30:00
2020-02-15 22:00:00,11,22:00:00
2020-02-15 22:30:00,10,22:30:00
2020-02-15 23:00:00,11,23:00:00
2020-02-15 23:30:00,11,23:30:00
2020-02-15 23:59:59,12,23:59:59
2020-02-16 00:00:00,12,00:00:00
2020-02-16 00:30:00,12,00:30:00
2020-02-16 01:00:00,11,01:00:00
2020-02-16 01:30:00,11,01:30:00
2020-02-16 02:00:00,12,02:00:00
2020-02-16 02:30:00,12,02:30:00
2020-02-16 03:00:00,12,03:00:00
2020-02-16 03:30:00,12,03:30:00
2020-02-16 04:00:00,14,04:00:00
2020-02-16 04:30:00,14,04:30:00
2020-02-16 05:00:00,14,05:00:00
2020-02-16 05:30:00,14,05:30:00
2020-02-16 06:00:00,14,06:00:00
2020-02-16 06:30:00,14,06:30:00
2020-02-16 07:00:00,14,07:00:00
2020-02-16 07:30:00,12,07:30:00
2020-02-16 08:00:00,14,08:00:00
2020-02-16 08:30:00,14,08:30:00
2020-02-16 09:00:00,15,09:00:00
2020-02-16 09:30:00,16,09:30:00
2020-02-16 10:00:00,18,10:00:00
2020-02-16 10:30:00,18,10:30:00
2020-02-16 11:00:00,21,11:00:00
2020-02-16 11:30:00,22,11:30:00
2020-02-16 12:00:00,29,12:00:00
2020-02-16 12:30:00,27,12:30:00
2020-02-16 13:00:00,32,13:00:00
2020-02-16 13:30:00,29,13:30:00
2020-02-16 14:00:00,32,14:00:00
2020-02-16 14:30:00,31,14:30:00
2020-02-16 15:00:00,29,15:00:00
2020-02-16 15:30:00,28,15:30:00
2020-02-16 16:00:00,28,16:00:00
2020-02-16 16:30:00,26,16:30:00
2020-02-16 17:00:00,23,17:00:00
2020-02-16 17:30:00,22,17:30:00
2020-02-16 18:00:00,21,18:00:00
2020-02-16 18:30:00,22,18:30:00
2020-02-16 19:00:00,21,19:00:00
2020-02-16 19:30:00,19,19:30:00
2020-02-16 20:00:00,21,20:00:00
2020-02-16 20:30:00,21,20:30:00
2020-02-16 21:00:00,20,21:00:00
2020-02-16 21:30:00,19,21:30:00
2020-02-16 22:00:00,20,22:00:00
2020-02-16 22:30:00,20,22:30:00
2020-02-16 23:00:00,19,23:00:00
2020-02-16 23:30:00,19,23:30:00
2020-02-16 23:59:59,19,23:59:59
2020-02-22 00:00:00,15,00:00:00
2020-02-22 00:30:00,16,00:30:00
2020-02-22 01:00:00,16,01:00:00
2020-02-22 01:30:00,16,01:30:00
2020-02-22 02:00:00,16,02:00:00
2020-02-22 02:30:00,18,02:30:00
2020-02-22 03:00:00,17,03:00:00
2020-02-22 03:30:00,17,03:30:00
2020-02-22 04:00:00,17,04:00:00
2020-02-22 04:30:00,17,04:30:00
2020-02-22 05:00:00,17,05:00:00
2020-02-22 05:30:00,17,05:30:00
2020-02-22 06:00:00,19,06:00:00
2020-02-22 06:30:00,20,06:30:00
